1,,,
eye_right_center,0.04275552,0.07625422,0.4372579
eye_left_center,-0.01863708,0.08201635,0.4372497
eyelid_right_top,0.04468963,0.07827716,0.4369851
eyelid_right_bottom,0.04433323,0.07410789,0.4391032
eyelid_right_right,0.05413879,0.07674699,0.4410263
eyelid_right_left,0.03526857,0.07747319,0.4376324
eyelid_left_top,-0.01922423,0.08476631,0.4367616
eyelid_left_bottom,-0.01953942,0.08001573,0.4379591
eyelid_left_right,-0.01019536,0.0815106,0.433986
eyelid_left_left,-0.02953521,0.08391476,0.4398719
eyebrow_right_center,0.04703278,0.1037459,0.4388561
eyebrow_right_right,0.06451026,0.09711022,0.4496422
eyebrow_right_left,0.03173924,0.0980477,0.4345668
eyebrow_left_center,-0.01946299,0.1094493,0.4364017
eyebrow_left_right,-0.004698837,0.1006348,0.433939
eyebrow_left_left,-0.03743757,0.1083428,0.4473135
nose_tip,0.006987336,0.04382068,0.4178812
nose_top,0.01006924,0.07627054,0.4305352
nose_bottom,0.006176471,0.03410661,0.4290687
nose_right,0.02696484,0.03697018,0.4410233
nose_left,-0.01277409,0.03943172,0.4345375
lip_right,0.02722134,0.01133931,0.4455888
lip_left,-0.01925348,0.01362762,0.4426416
upper_lip_center,0.00360458,0.01777838,0.432704
upper_lip_right,0.01248169,0.01914827,0.434015
upper_lip_left,-0.003688565,0.0205395,0.433421
lower_lip_center,0.001709338,-0.0005865212,0.4365978
lower_lip_right,0.01168727,-0.0001219226,0.4397114
lower_lip_left,-0.007012528,0.001915061,0.4371998
face_border_top_right,0.08042942,0.07924031,0.4609413
face_border_top_left,-0.049709,0.09392168,0.4582
chin,-0.00353778,-0.03631644,0.469104
1,,,
eye_right_center,0.02834987,0.08617599,0.465158
eye_left_center,-0.03350586,0.08684497,0.4625047
eyelid_right_top,0.02971331,0.08763508,0.46435
eyelid_right_bottom,0.02931565,0.08486073,0.4665926
eyelid_right_right,0.03892605,0.08799981,0.4728875
eyelid_right_left,0.02056734,0.08686493,0.4652127
eyelid_left_top,-0.03544853,0.08957601,0.464536
eyelid_left_bottom,-0.03538641,0.08550593,0.4650479
eyelid_left_right,-0.02619644,0.08684471,0.459037
eyelid_left_left,-0.04601011,0.0888,0.4695137
eyebrow_right_center,0.03011635,0.1143497,0.4678926
eyebrow_right_right,0.04900782,0.1097039,0.4820795
eyebrow_right_left,0.0134223,0.1071125,0.4631509
eyebrow_left_center,-0.03886021,0.1148721,0.4656866
